regionCd,regionNm,YEARMONTH,volume
31000,울산,201310,2823
31000,울산,201311,2939
31000,울산,201312,3856
31000,울산,201401,2819
31000,울산,201402,2933
31000,울산,201403,3415
31000,울산,201404,4208
31000,울산,201405,3365
31000,울산,201406,3190
31000,울산,201407,3105
31000,울산,201408,2865
31000,울산,201409,3331
31000,울산,201410,3671
31000,울산,201411,3227
31000,울산,201412,4462
31000,울산,201501,3760
31000,울산,201502,2402
31000,울산,201503,3006
31000,울산,201504,4373
31000,울산,201505,4673
31000,울산,201506,4039
31000,울산,201507,3846
31000,울산,201508,2473
31000,울산,201509,2391
31000,울산,201510,3084
31000,울산,201511,3852
31000,울산,201512,3468
31000,울산,201601,2460
31000,울산,201602,2290
31000,울산,201603,2768
31000,울산,201604,3112
31000,울산,201605,2805
31000,울산,201606,2916
31000,울산,201607,2004
31000,울산,201608,1714
31000,울산,201609,1683
31000,울산,201610,1743
31000,울산,201611,2079
31000,울산,201612,2232
31000,울산,201701,1891
31000,울산,201702,2034
31000,울산,201703,2333
31000,울산,201704,2243
31000,울산,201705,2265
31000,울산,201706,2197
31000,울산,201707,2355
31000,울산,201708,2226
31000,울산,201709,1873
31000,울산,201710,2075
31000,울산,201711,3156
31000,울산,201712,2308
31000,울산,201801,3314
31000,울산,201802,1893
31000,울산,201803,2968
31000,울산,201804,1601
31000,울산,201805,1870
31000,울산,201806,1939
31000,울산,201807,1574
31000,울산,201808,1573
31000,울산,201809,1911
31000,울산,201810,1291
31000,울산,201811,1686
31000,울산,201812,1961
31000,울산,201901,2488
31000,울산,201902,2230
31000,울산,201903,3299
41000,경기,200601,17630
41000,경기,200602,20561
41000,경기,200603,28400
41000,경기,200604,25277
41000,경기,200605,27199
41000,경기,200606,23842
41000,경기,200607,18705
41000,경기,200608,17087
41000,경기,200609,31661
41000,경기,200610,37995
41000,경기,200611,50872
41000,경기,200612,31130
41000,경기,200701,21694
41000,경기,200702,15055
41000,경기,200703,16488
41000,경기,200704,16715
41000,경기,200705,14223
41000,경기,200706,15347
41000,경기,200707,17321
41000,경기,200708,16649
41000,경기,200709,14074
41000,경기,200710,20732
41000,경기,200711,20821
41000,경기,200712,13958
41000,경기,200801,14313
41000,경기,200802,13084
41000,경기,200803,18772
41000,경기,200804,22176
41000,경기,200805,20358
41000,경기,200806,19907
41000,경기,200807,20326
41000,경기,200808,13406
41000,경기,200809,12562
41000,경기,200810,11176
41000,경기,200811,9833
41000,경기,200812,9887
41000,경기,200901,8214
41000,경기,200902,13957
41000,경기,200903,16975
41000,경기,200904,19036
41000,경기,200905,18691
